Textbook,Name
genki_kanji_textbook,Introduction
genki_kanji_textbook,Contents
genki_kanji_textbook,How to use
genki_kanji_textbook,Kanji basics
genki_kanji_textbook,Kanjir parts
genki_kanji_textbook,Part 1
genki_kanji_textbook,Lesson 1
genki_kanji_textbook,Lesson 2
genki_kanji_textbook,Lesson 3
genki_kanji_textbook,Lesson 4
genki_kanji_textbook,Lesson 5
genki_kanji_textbook,Lesson 6
genki_kanji_textbook,Lesson 7
genki_kanji_textbook,Lesson 8
genki_kanji_textbook,Lesson 9
genki_kanji_textbook,Lesson 10
genki_kanji_textbook,Part 2
genki_kanji_textbook,Lesson 11
genki_kanji_textbook,Lesson 12
genki_kanji_textbook,Lesson 13
genki_kanji_textbook,Lesson 14
genki_kanji_textbook,Lesson 15
genki_kanji_textbook,Lesson 16
genki_kanji_textbook,Lesson 17
genki_kanji_textbook,Lesson 18
genki_kanji_textbook,Lesson 19
genki_kanji_textbook,Lesson 20
genki_kanji_textbook,Part 3
genki_kanji_textbook,Lesson 21
genki_kanji_textbook,Lesson 22
genki_kanji_textbook,Lesson 23
genki_kanji_textbook,Lesson 24
genki_kanji_textbook,Lesson 25
genki_kanji_textbook,Lesson 26
genki_kanji_textbook,Lesson 27
genki_kanji_textbook,Lesson 28
genki_kanji_textbook,Lesson 29
genki_kanji_textbook,Lesson 30
genki_kanji_textbook,Lesson 31
genki_kanji_textbook,Lesson 32
genki_kanji_textbook,Stroke count index
genki_kanji_textbook,Reading index
genki_kanji_textbook,Shape index
genki_kanji_textbook,Vocabulary index
