Textbook,Name
genki_textbook_I,Cover
genki_textbook_I,Preface
genki_textbook_I,Table of Contents
genki_textbook_I,Introduction
genki_textbook_I,Japanese Writing System
genki_textbook_I,Conversation and Grammar Section
genki_textbook_I,Greetings
genki_textbook_I,Lesson 1: New Friends
genki_textbook_I,Lesson 2: Shopping
genki_textbook_I,Lesson 3: Making a Date
genki_textbook_I,Lesson 4: The First Date
genki_textbook_I,Lesson 5: A Trip to Okinawa
genki_textbook_I,Lesson 6: A Day in Robert's Life
genki_textbook_I,Lesson 7: Family Picture
genki_textbook_I,Lesson 8: Barbecue
genki_textbook_I,Lesson 9: Kabuki
genki_textbook_I,Lesson 10: Winter Vacation Plans
genki_textbook_I,Lesson 11: AFter the Vacation
genki_textbook_I,Lesson 12: Feeling Ill
genki_textbook_I,Reading and Writing Section
genki_textbook_I,Lesson 1: Hiragana
genki_textbook_I,Lesson 2: Katakana
genki_textbook_I,Lesson 3: Daily Life
genki_textbook_I,Lesson 4: Mary's Weekend
genki_textbook_I,Lesson 5: Travel
genki_textbook_I,Lesson 6: My Favorite Restaurant
genki_textbook_I,Lesson 7: Mary's Letter
genki_textbook_I,Lesson 8: Japanese Office Workers
genki_textbook_I,Lesson 9: Sue's Diary
genki_textbook_I,Lesson 10: The Folktale Kasajizo
genki_textbook_I,Lesson 11: Looking for Friends
genki_textbook_I,Lesson 12: Tanabata Festival
genki_textbook_I,Appendix
genki_textbook_I,Dictionary: Japanese-English
genki_textbook_I,Dictionary: English-Japanese
genki_textbook_I,Map of Japan
genki_textbook_I,Numbers
genki_textbook_I,Conjugation Chart
